Theta,Distance,Z
14.9108,50.8593,0.0
14.751,50.9059,0.0
14.3244,49.9881,0.0
14.9846,52.9194,0.0
14.0101,50.0771,0.0
14.3945,52.0461,0.0
13.9674,51.1264,0.0
13.0252,48.2736,0.0
13.6549,51.2108,0.0
13.4939,51.2534,0.0
13.5844,52.2634,0.0
13.4293,52.3035,0.0
12.7736,50.4067,0.0
12.3726,49.4765,0.0
12.9449,52.4255,0.0
11.3601,46.6363,0.0
12.3816,51.5334,0.0
11.7672,49.6239,0.0
12.0666,51.6081,0.0
11.9044,51.6458,0.0
11.5294,50.7058,0.0
11.8073,52.6933,0.0
10.995,49.8007,0.0
10.8472,49.8331,0.0
11.1098,51.8225,0.0
10.5338,49.9003,0.0
10.3857,49.9313,0.0
10.0282,48.984,0.0
11.2567,55.8774,0.0
9.5343,48.0635,0.0
9.5747,49.0747,0.0
9.7973,51.0687,0.0
9.0893,48.1496,0.0
9.4852,51.1276,0.0
9.6831,53.1247,0.0
9.3491,52.1689,0.0
8.4919,48.2585,0.0
8.6807,50.2558,0.0
9.0334,53.2391,0.0
7.3884,44.3893,0.0
8.2154,50.334,0.0
8.3824,52.3329,0.0
7.5977,48.4074,0.0
7.5975,49.4194,0.0
7.3019,48.4529,0.0
7.2955,49.4649,0.0
6.8545,47.5081,0.0
7.2729,51.4889,0.0
6.5641,47.549,0.0
6.5484,48.5605,0.0
6.4043,48.5797,0.0
6.5068,50.5832,0.0
6.0989,48.619,0.0
5.9546,48.6368,0.0
6.0386,50.6412,0.0
5.6489,48.6733,0.0
5.6168,49.6835,0.0
5.4607,49.7009,0.0
5.4106,50.7122,0.0
5.0538,48.7387,0.0
4.9007,48.7543,0.0
5.1351,52.7507,0.0
4.6967,49.7789,0.0
4.8127,52.781,0.0
4.1208,46.819,0.0
4.4902,52.8094,0.0
4.3243,52.8233,0.0
4.0799,51.8397,0.0
4.0015,52.8487,0.0
3.6184,49.8689,0.0
3.4617,49.88,0.0
3.38,50.8879,0.0
3.1569,49.9002,0.0
2.9402,48.9117,0.0
2.9091,50.917,0.0
2.803,51.9244,0.0
2.4876,48.9368,0.0
2.7248,56.9348,0.0
2.3226,51.9481,0.0
2.1594,51.9551,0.0
1.8895,48.9636,0.0
1.842,51.9674,0.0
1.6787,51.9729,0.0
1.4659,49.9785,0.0
1.3088,49.9829,0.0
1.207,51.986,0.0
1.0035,49.9899,0.0
0.8972,52.9924,0.0
0.7121,50.995,0.0
0.5735,52.9969,0.0
0.407,52.9984,0.0
0.2498,52.9994,0.0
0.0848,53.9999,0.0
-0.0833,52.9999,0.0
-0.245,53.9994,0.0
-0.407,52.9984,0.0
-0.6276,57.9966,0.0
-0.7445,53.9949,0.0
-0.8972,52.9924,0.0
-1.1239,55.9887,0.0
-1.29,55.9851,0.0
-1.4397,54.9812,0.0
-1.6711,56.9755,0.0
-1.8078,55.9708,0.0
-2.0191,56.9642,0.0
-2.1595,55.9583,0.0
-2.3255,55.9517,0.0
-2.5459,56.9431,0.0
-2.8204,58.9325,0.0
-2.8937,56.9265,0.0
-3.0726,56.9171,0.0
-3.1943,55.9088,0.0
-3.5402,58.8937,0.0
-3.5989,56.8863,0.0
-3.8439,57.8725,0.0
-4.0848,58.8584,0.0
-4.125,56.8505,0.0
-4.228,55.8402,0.0
-4.7075,59.815,0.0
-4.8138,58.8033,0.0
-5.0833,59.7843,0.0
-5.173,58.7728,0.0
-5.3576,58.7562,0.0
-5.4482,57.7435,0.0
-5.7164,58.7224,0.0
-6.2009,61.6891,0.0
-6.2915,60.6747,0.0
-6.2593,58.667,0.0
-6.7713,61.6291,0.0
-6.8525,60.6139,0.0
-6.917,59.6,0.0
-7.1042,59.5779,0.0
-7.6559,62.5331,0.0
-7.717,61.5179,0.0
-8.0378,62.4851,0.0
-7.7113,58.4939,0.0
-8.553,63.4259,0.0
-8.3419,60.4269,0.0
-8.3919,59.4102,0.0
-8.8537,61.3646,0.0
-9.3383,63.3151,0.0
-8.9411,59.3301,0.0
-9.5729,62.2684,0.0
-9.6134,61.2502,0.0
-9.8058,61.2197,0.0
-10.1485,62.1772,0.0
-10.3438,62.145,0.0
-10.3717,61.1263,0.0
-9.8722,57.1537,0.0
-10.9182,62.0467,0.0
-10.4075,58.0748,0.0
-10.9384,60.0113,0.0
-10.762,58.0102,0.0
-10.5732,56.0108,0.0
-10.551,54.9971,0.0
-11.6811,59.8711,0.0
-10.118,51.0061,0.0
-10.2693,50.9759,0.0
-10.2288,49.9637,0.0
-10.3857,49.9313,0.0
-6.1964,29.3531,0.0
-7.7559,36.178,0.0
-6.8061,31.2678,0.0
-5.8209,26.3651,0.0
-5.9037,26.3467,0.0
-9.7556,42.9049,0.0
-6.7383,29.2335,0.0
-7.9685,34.0808,0.0
-6.6911,28.2175,0.0
-4.4387,18.4743,0.0
-6.6267,27.2045,0.0
-6.4724,26.2127,0.0
-7.278,29.1038,0.0
-7.8607,31.0195,0.0
-7.4607,29.0575,0.0
-8.8047,33.8744,0.0
-8.4019,31.9125,0.0
-9.5326,35.7509,0.0
-7.8151,28.9642,0.0
-9.7508,35.692,0.0
-9.8629,35.6612,0.0
-10.2381,36.5948,0.0
-8.1734,28.8651,0.0
-10.1924,35.5685,0.0
-9.4629,32.6566,0.0
-8.1588,27.8287,0.0
-9.3836,31.6378,0.0
-9.7646,32.5677,0.0
-9.8668,32.5368,0.0
-9.969,32.5057,0.0
-8.5852,27.7001,0.0
-10.1674,32.4442,0.0
-11.1754,35.272,0.0
-10.6703,33.3339,0.0
-10.4671,32.3487,0.0
-9.947,30.4148,0.0
-10.9781,33.2337,0.0
-11.7158,35.0962,0.0
-12.4652,36.9543,0.0
-11.2851,33.1308,0.0
-11.3891,33.0951,0.0
-12.4781,35.8928,0.0
-12.2534,34.9121,0.0
-11.6948,32.9884,0.0
-13.1467,36.7174,0.0
-11.5562,31.9759,0.0
-11.3137,31.0,0.0
-11.7568,31.9026,0.0
-11.8514,31.8676,0.0
-11.6,30.894,0.0
-12.0514,31.7925,0.0
-12.1457,31.7566,0.0
-12.2454,31.7183,0.0
-11.6188,29.8161,0.0
-13.5365,34.4349,0.0
-12.5383,31.6037,0.0
-13.0092,32.4925,0.0
-13.1056,32.4537,0.0
-14.3395,35.1906,0.0
-14.0697,34.2205,0.0
-12.6392,30.4836,0.0
-13.5067,32.2888,0.0
-14.3857,34.0889,0.0
-12.5291,29.4452,0.0
-13.8048,32.1625,0.0
-13.9058,32.119,0.0
-14.001,32.0776,0.0
-13.6988,31.1182,0.0
-13.7911,31.0774,0.0
-15.1141,33.7722,0.0
-15.6315,34.6361,0.0
-13.6639,30.0383,0.0
-14.1751,30.9041,0.0
-14.6919,31.7671,0.0
-14.7861,31.7234,0.0
-14.8857,31.6767,0.0
-14.9851,31.6298,0.0
-15.9406,33.3901,0.0
-14.7444,30.6366,0.0
-17.4595,35.9884,0.0
-14.9313,30.546,0.0
-17.679,35.8811,0.0
-15.5677,31.3472,0.0
-14.7657,29.5122,0.0
-15.3086,30.3586,0.0
-15.4039,30.3104,0.0
-15.4938,30.2645,0.0
-16.0473,31.1044,0.0
-14.7611,28.3921,0.0
-12.9896,24.8046,0.0
-16.3343,30.9546,0.0
-15.4926,29.1373,0.0
-18.4115,34.3805,0.0
-15.1954,28.162,0.0
-14.3286,26.357,0.0
-16.8078,30.7001,0.0
-18.8361,34.1497,0.0
-16.0289,28.8457,0.0
-16.6028,29.6707,0.0
-16.6959,29.6184,0.0
-16.2951,28.6962,0.0
-15.8838,27.7796,0.0
-17.4682,30.3292,0.0
-17.5634,30.2742,0.0
-18.6619,31.9489,0.0
-15.2126,25.8568,0.0
-17.3329,29.2501,0.0
-18.9567,31.7749,0.0
-17.5113,29.1437,0.0
-17.6028,29.0885,0.0
-15.6079,25.6202,0.0
-17.2572,28.1281,0.0
-22.076,35.7302,0.0
-18.485,29.7205,0.0
-15.3934,24.5773,0.0
-17.6044,27.9121,0.0
-19.831,31.2367,0.0
-19.9291,31.1742,0.0
-16.238,25.2255,0.0
-17.4003,26.8557,0.0
-18.5774,28.476,0.0
-18.1178,27.5816,0.0
-13.7875,20.8544,0.0
-18.2859,27.4705,0.0
-16.7019,24.9208,0.0
-19.5718,29.0163,0.0
-18.5392,27.3001,0.0
-16.3673,23.9397,0.0
