Theta,Distance,Z
130.36,10281.00,0
130.54,10174.00,0
130.72,9897.00,0
130.89,1.00,0
131.07,9885.00,0
131.25,10082.00,0
131.42,10077.00,0
131.60,9706.00,0
131.78,1.00,0
131.95,1.00,0
132.13,1.00,0
132.31,10304.00,0
132.48,9676.00,0
132.66,9615.00,0
132.84,10354.00,0
133.01,9632.00,0
133.19,9908.00,0
133.37,1.00,0
133.54,9920.00,0
133.72,10059.00,0
133.90,1.00,0
134.07,9239.00,0
134.25,10211.00,0
134.43,1.00,0
134.60,9093.00,0
134.78,10165.00,0
134.96,1.00,0
135.13,9693.00,0
135.31,1.00,0
135.49,1.00,0
135.66,9718.00,0
135.84,9674.00,0
136.02,1.00,0
136.19,10385.00,0
136.37,10316.00,0
136.55,10369.00,0
136.72,1.00,0
136.90,10344.00,0
137.08,1.00,0
137.25,1.00,0
137.43,1.00,0
137.61,9704.00,0
137.78,1.00,0
137.96,10082.00,0
138.14,9127.00,0
138.31,9858.00,0
138.49,9921.00,0
138.67,1.00,0
138.84,9876.00,0
139.02,9955.00,0
139.20,10392.00,0
139.37,10084.00,0
139.55,10349.00,0
139.73,1.00,0
139.90,1.00,0
140.08,1.00,0
140.26,9684.00,0
140.43,1.00,0
140.61,9861.00,0
140.79,10117.00,0
140.96,10208.00,0
141.14,1.00,0
141.32,1.00,0
141.49,1.00,0
141.67,1.00,0
141.85,10177.00,0
142.02,9371.00,0
142.20,9851.00,0
142.38,9845.00,0
142.55,1.00,0
142.73,1.00,0
142.91,1.00,0
143.08,10061.00,0
143.26,8171.00,0
143.44,9879.00,0
143.61,9483.00,0
143.79,1.00,0
143.97,1.00,0
144.14,9972.00,0
144.32,10197.00,0
144.50,9238.00,0
144.67,10078.00,0
144.85,9621.00,0
145.02,9574.00,0
145.20,1.00,0
145.38,1.00,0
145.55,9914.00,0
145.73,1.00,0
145.91,9475.00,0
146.08,10387.00,0
146.26,9707.00,0
146.44,1.00,0
146.61,1.00,0
146.79,10170.00,0
146.97,1.00,0
147.14,10188.00,0
147.32,1.00,0
147.50,1.00,0
147.67,1.00,0
147.85,111.00,0
148.03,1.00,0
148.20,1.00,0
148.38,10103.00,0
148.56,83.00,0
148.73,1.00,0
148.91,1.00,0
149.09,1.00,0
149.26,1.00,0
149.44,1.00,0
149.62,9931.00,0
149.79,1.00,0
149.97,5.00,0
150.15,19.00,0
150.32,24.00,0
150.50,43.00,0
150.68,30.00,0
150.85,19.00,0
151.03,7.00,0
151.21,8.00,0
151.38,15.00,0
151.56,12.00,0
151.74,25.00,0
151.91,22.00,0
152.09,15.00,0
152.27,24.00,0
152.44,17.00,0
152.62,17.00,0
152.80,8.00,0
152.97,12.00,0
153.15,10.00,0
153.33,7.00,0
153.50,12.00,0
153.68,15.00,0
153.86,14.00,0
154.03,12.00,0
154.21,12.00,0
154.39,12.00,0
154.56,8.00,0
154.74,9.00,0
154.92,13.00,0
155.09,14.00,0
155.27,9.00,0
155.45,14.00,0
155.62,10.00,0
155.80,12.00,0
155.98,10.00,0
156.15,12.00,0
156.33,10.00,0
156.51,9.00,0
156.68,10.00,0
156.86,10.00,0
157.04,10.00,0
157.21,10.00,0
157.39,10.00,0
157.57,12.00,0
157.74,13.00,0
157.92,14.00,0
158.10,12.00,0
158.27,12.00,0
158.45,10.00,0
158.63,14.00,0
158.80,12.00,0
158.98,14.00,0
159.16,12.00,0
159.33,13.00,0
159.51,12.00,0
159.69,14.00,0
159.86,13.00,0
160.04,14.00,0
160.22,13.00,0
160.39,14.00,0
160.57,12.00,0
160.75,14.00,0
160.92,14.00,0
161.10,12.00,0
161.28,12.00,0
161.45,13.00,0
161.63,13.00,0
161.81,13.00,0
161.98,12.00,0
162.16,13.00,0
162.34,12.00,0
162.51,12.00,0
162.69,12.00,0
162.87,12.00,0
163.04,12.00,0
163.22,12.00,0
163.40,13.00,0
163.57,13.00,0
163.75,13.00,0
163.93,12.00,0
164.10,12.00,0
164.28,12.00,0
164.46,12.00,0
164.63,12.00,0
164.81,13.00,0
164.99,12.00,0
165.16,12.00,0
165.34,13.00,0
165.52,13.00,0
165.69,13.00,0
165.87,13.00,0
166.05,13.00,0
166.22,12.00,0
166.40,12.00,0
166.58,10.00,0
166.75,13.00,0
166.93,12.00,0
167.11,13.00,0
167.28,10.00,0
167.46,12.00,0
167.64,12.00,0
167.81,10.00,0
167.99,12.00,0
168.17,13.00,0
168.34,12.00,0
168.52,10.00,0
168.70,12.00,0
168.87,10.00,0
169.05,10.00,0
169.23,10.00,0
169.40,12.00,0
169.58,12.00,0
169.76,10.00,0
169.93,10.00,0
170.11,9.00,0
170.29,10.00,0
170.46,9.00,0
170.64,10.00,0
170.82,10.00,0
170.99,10.00,0
171.17,9.00,0
171.35,9.00,0
171.52,7.00,0
171.70,8.00,0
171.88,9.00,0
172.05,7.00,0
172.23,9.00,0
172.41,9.00,0
172.58,7.00,0
172.76,7.00,0
172.94,7.00,0
173.11,9.00,0
173.29,9.00,0
173.47,8.00,0
173.64,9.00,0
173.82,9.00,0
174.00,14.00,0
174.17,12.00,0
174.35,13.00,0
174.53,13.00,0
174.70,13.00,0
174.88,17.00,0
175.06,8.00,0
175.23,13.00,0
175.41,9.00,0
175.59,15.00,0
175.76,15.00,0
175.94,13.00,0
176.12,14.00,0
176.29,14.00,0
176.47,10.00,0
176.65,13.00,0
176.82,17.00,0
177.00,5.00,0
177.18,23.00,0
177.35,5.00,0
177.53,1.00,0
177.71,9869.00,0
177.88,1.00,0
178.06,29.00,0
178.24,1.00,0
178.41,1.00,0
178.59,1.00,0
178.77,10136.00,0
178.94,12.00,0
179.12,9941.00,0
179.30,9415.00,0
179.47,1.00,0
179.65,1.00,0
179.83,1.00,0
180.00,1.00,0
180.18,7925.00,0
180.36,9561.00,0
180.53,8903.00,0
180.71,1.00,0
180.89,1.00,0
181.06,9475.00,0
181.24,1.00,0
181.42,10350.00,0
181.59,10155.00,0
181.77,1.00,0
181.95,1.00,0
182.12,1.00,0
182.30,1.00,0
182.47,10348.00,0
182.65,5.00,0
182.83,9663.00,0
183.00,9933.00,0
183.18,9623.00,0
183.36,1.00,0
183.53,1.00,0
183.71,1.00,0
183.89,1.00,0
184.06,10156.00,0
184.24,1.00,0
184.42,1.00,0
184.59,10307.00,0
184.77,9156.00,0
184.95,9972.00,0
185.12,9837.00,0
185.30,10213.00,0
185.48,10307.00,0
185.65,10336.00,0
185.83,9240.00,0
186.01,10194.00,0
186.18,1.00,0
186.36,10096.00,0
186.54,9604.00,0
186.71,10082.00,0
186.89,1.00,0
187.07,1.00,0
187.24,9579.00,0
187.42,1.00,0
187.60,5.00,0
187.77,1.00,0
187.95,10075.00,0
188.13,10157.00,0
188.30,1.00,0
188.48,9938.00,0
188.66,1.00,0
188.83,10094.00,0
189.01,9476.00,0
189.19,1.00,0
189.36,10360.00,0
189.54,10306.00,0
189.72,1.00,0
189.89,9858.00,0
190.07,9613.00,0
190.25,10125.00,0
190.42,9817.00,0
190.60,9638.00,0
190.78,1.00,0
190.95,10066.00,0
191.13,1.00,0
191.31,1.00,0
191.48,1.00,0
191.66,9355.00,0
191.84,10215.00,0
192.01,5.00,0
192.19,10322.00,0
192.37,10347.00,0
192.54,1.00,0
192.72,10156.00,0
192.90,1.00,0
193.07,9035.00,0
193.25,10228.00,0
193.43,10323.00,0
193.60,10321.00,0
193.78,5.00,0
193.96,9420.00,0
194.13,10118.00,0
194.31,10316.00,0
194.49,1.00,0
194.66,9279.00,0
194.84,1.00,0
195.02,9662.00,0
195.19,9831.00,0
195.37,1.00,0
195.55,1.00,0
195.72,1.00,0
195.90,9487.00,0
196.08,9718.00,0
196.25,10134.00,0
196.43,1.00,0
196.61,9622.00,0
196.78,9137.00,0
196.96,9487.00,0
197.14,9437.00,0
197.31,1.00,0
197.49,9630.00,0
197.67,1.00,0
197.84,1.00,0
198.02,9368.00,0
198.20,9937.00,0
198.37,9891.00,0
198.55,8396.00,0
198.73,1.00,0
198.90,10105.00,0
199.08,10358.00,0
199.26,1.00,0
199.43,1.00,0
199.61,10312.00,0
199.79,9361.00,0
199.96,10346.00,0
200.14,1.00,0
200.32,1.00,0
200.49,1.00,0
200.67,10357.00,0
200.85,10059.00,0
201.02,1.00,0
201.20,1.00,0
201.38,1.00,0
201.55,10306.00,0
201.73,10394.00,0
201.91,1.00,0
202.08,9654.00,0
202.26,1.00,0
202.44,10190.00,0
202.61,1.00,0
202.79,9630.00,0
202.97,1.00,0
203.14,1.00,0
203.32,8737.00,0
203.50,9599.00,0
203.67,1.00,0
203.85,1.00,0
204.03,10306.00,0
204.20,1.00,0
204.38,9868.00,0
204.56,9627.00,0
204.73,1.00,0
204.91,8715.00,0
205.09,10211.00,0
205.26,1.00,0
205.44,10339.00,0
205.62,10306.00,0
205.79,1.00,0
205.97,9949.00,0
206.15,9681.00,0
206.32,1.00,0
206.50,9428.00,0
206.68,10109.00,0
206.85,1.00,0
207.03,1.00,0
207.21,9490.00,0
207.38,1.00,0
207.56,10186.00,0
207.74,9462.00,0
207.91,1.00,0
208.09,9458.00,0
208.27,9617.00,0
208.44,1.00,0
208.62,1.00,0
208.80,9641.00,0
208.97,1.00,0
209.15,5.00,0
209.33,9854.00,0
209.50,1.00,0
209.68,10200.00,0
209.86,9462.00,0
210.03,1.00,0
210.21,10326.00,0
210.39,10334.00,0
210.56,1.00,0
210.74,10112.00,0
210.92,9355.00,0
211.09,1.00,0
211.27,1.00,0
211.45,1.00,0
211.62,1.00,0
211.80,9437.00,0
211.98,1.00,0
212.15,10189.00,0
212.33,9899.00,0
212.51,1.00,0
212.68,10070.00,0
212.86,1.00,0
213.04,10305.00,0
213.21,10108.00,0
213.39,9677.00,0
213.57,1.00,0
213.74,9687.00,0
213.92,9432.00,0
214.10,1.00,0
214.27,1.00,0
214.45,10131.00,0
214.63,9825.00,0
214.80,9659.00,0
214.98,10202.00,0
215.16,9819.00,0
215.33,1.00,0
215.51,10334.00,0
215.69,1.00,0
215.86,9645.00,0
216.04,9948.00,0
216.22,1.00,0
216.39,9358.00,0
216.57,9196.00,0
216.75,8844.00,0
216.92,1.00,0
217.10,9868.00,0
217.28,9851.00,0
217.45,10082.00,0
217.63,1.00,0
217.81,9871.00,0
217.98,9912.00,0
218.16,1.00,0
218.34,9571.00,0
218.51,1.00,0
218.69,10150.00,0
218.87,10210.00,0
219.04,10279.00,0
219.22,1.00,0
219.40,10320.00,0
219.57,1.00,0
219.75,1.00,0
219.92,1.00,0
220.10,10341.00,0
220.28,9901.00,0
220.45,10205.00,0
220.63,10161.00,0
220.81,1.00,0
220.98,1.00,0
221.16,9371.00,0
221.34,10091.00,0
