X,Y,Z
135.8709,33.7505,0.0
135.7642,34.1772,0.0
135.6562,34.6035,0.0
135.5529,35.0059,0.0
135.4423,35.4316,0.0
135.3303,35.8569,0.0
135.2233,36.2583,0.0
135.1087,36.6829,0.0
134.9928,37.1072,0.0
134.8821,37.5075,0.0
134.7636,37.9311,0.0
134.6438,38.3543,0.0
134.5294,38.7536,0.0
134.407,39.1761,0.0
134.2832,39.5981,0.0
134.1652,39.9964,0.0
134.0388,40.4177,0.0
133.9112,40.8386,0.0
133.7894,41.2357,0.0
133.6592,41.6558,0.0
133.5277,42.0755,0.0
133.4023,42.4715,0.0
133.2682,42.8904,0.0
116.9667,38.0499,0.0
117.8033,38.709,0.0
125.2734,41.6001,0.0
118.5058,39.7665,0.0
129.7525,43.9693,0.0
113.5302,38.8701,0.0
117.1878,40.5341,0.0
108.5702,37.9144,0.0
121.6533,42.9125,0.0
105.5039,37.589,0.0
116.6839,41.9628,0.0
115.6115,41.9878,0.0
119.2345,43.728,0.0
116.2907,43.0403,0.0
97.4203,36.4046,0.0
113.2111,42.7112,0.0
114.0185,43.4027,0.0
112.0146,43.0433,0.0
109.0819,42.3101,0.0
112.6809,44.0911,0.0
108.8214,42.9756,0.0
98.4675,39.2447,0.0
103.9177,41.7746,0.0
98.2259,39.8455,0.0
100.8767,41.2903,0.0
105.3755,43.4972,0.0
102.4689,42.6747,0.0
116.1633,48.8067,0.0
113.2556,47.9809,0.0
99.3111,42.4418,0.0
122.135,52.6502,0.0
101.8014,44.2434,0.0
97.9984,42.9571,0.0
107.9236,47.7125,0.0
104.128,46.4043,0.0
98.509,44.2717,0.0
109.2993,49.5344,0.0
101.8751,46.5346,0.0
108.9947,50.2011,0.0
103.3946,48.0161,0.0
99.6288,46.6272,0.0
86.8205,40.9658,0.0
101.14,48.1114,0.0
108.2109,51.8692,0.0
113.4497,54.8193,0.0
114.176,55.6134,0.0
101.4424,49.784,0.0
94.1148,46.5553,0.0
102.9175,51.3127,0.0
107.2328,53.8621,0.0
103.4943,52.3921,0.0
99.7661,50.8992,0.0
98.7252,50.7379,0.0
94.1255,48.7483,0.0
105.4967,55.0586,0.0
107.9883,56.7673,0.0
114.8789,60.8509,0.0
102.3363,54.6195,0.0
96.0081,51.6086,0.0
104.6386,56.6723,0.0
107.9713,58.9168,0.0
106.0433,58.2737,0.0
90.9868,50.3726,0.0
107.4217,59.913,0.0
90.6774,50.9274,0.0
100.9613,57.1211,0.0
95.5685,54.4671,0.0
117.0897,67.1937,0.0
118.6096,68.5621,0.0
102.8383,59.8773,0.0
111.287,65.2395,0.0
103.3317,61.0128,0.0
99.7015,59.2926,0.0
94.3773,56.506,0.0
89.0612,53.7039,0.0
97.4393,59.1742,0.0
93.8506,57.3766,0.0
120.0677,73.9239,0.0
90.0886,55.8573,0.0
101.7991,63.537,0.0
103.2923,64.9208,0.0
104.7778,66.3146,0.0
97.8334,62.3268,0.0
98.4788,63.1737,0.0
92.3999,59.6847,0.0
97.2527,63.2291,0.0
97.8902,64.082,0.0
96.8535,63.8389,0.0
96.6637,64.126,0.0
90.6408,60.5413,0.0
94.5992,63.616,0.0
89.4411,60.5334,0.0
96.688,65.8819,0.0
101.4283,69.5795,0.0
103.6902,71.5845,0.0
106.7494,74.1928,0.0
95.8642,67.075,0.0
93.2118,65.632,0.0
88.926,63.0331,0.0
93.6116,66.7972,0.0
98.2867,70.5742,0.0
97.2541,70.2968,0.0
99.4586,72.367,0.0
95.2092,69.7081,0.0
89.3547,65.8539,0.0
93.9662,69.7091,0.0
89.7521,66.9967,0.0
99.1349,74.4867,0.0
86.1391,65.1465,0.0
75.6001,57.5293,0.0
83.3578,63.8472,0.0
93.4525,72.0461,0.0
90.8678,70.4843,0.0
89.8577,70.154,0.0
88.0764,69.1849,0.0
90.212,71.3218,0.0
72.7725,57.9066,0.0
84.31,67.4968,0.0
99.6712,80.3097,0.0
91.6514,74.3238,0.0
86.0066,70.1703,0.0
90.4228,74.2477,0.0
94.8142,78.3535,0.0
93.0434,77.3559,0.0
83.5966,69.9472,0.0
84.9063,71.4977,0.0
92.3238,78.2132,0.0
97.4045,83.0444,0.0
86.5181,74.2336,0.0
79.4845,68.6092,0.0
71.7192,62.3006,0.0
96.3679,84.245,0.0
78.0955,68.6811,0.0
81.6236,72.2398,0.0
93.3443,83.1375,0.0
87.8838,78.7429,0.0
86.8933,78.349,0.0
88.8684,80.6375,0.0
84.9359,77.53,0.0
87.6377,80.5024,0.0
79.3068,73.3105,0.0
82.7505,76.9503,0.0
81.7782,76.5267,0.0
79.3533,74.7265,0.0
73.3235,69.4599,0.0
75.2763,71.7599,0.0
82.2669,78.9187,0.0
90.6674,87.4953,0.0
84.6529,82.2064,0.0
90.831,88.7622,0.0
82.7229,81.3199,0.0
84.5997,83.6892,0.0
94.9671,94.5371,0.0
91.8597,91.988,0.0
89.4571,90.1467,0.0
87.067,88.2912,0.0
84.7045,86.4069,0.0
84.4326,86.6725,0.0
88.3332,91.2483,0.0
85.9818,89.3483,0.0
82.9362,86.7271,0.0
82.6633,86.9872,0.0
85.1517,90.1399,0.0
84.1836,89.6778,0.0
85.2657,91.4043,0.0
87.034,93.8567,0.0
86.7387,94.1296,0.0
85.0919,92.9267,0.0
86.8353,95.3973,0.0
83.8519,92.7031,0.0
82.2233,91.4786,0.0
83.284,93.2136,0.0
89.63,100.9527,0.0
74.0963,83.9866,0.0
89.0117,101.4984,0.0
86.0645,98.7619,0.0
79.8623,92.2281,0.0
86.1119,100.0437,0.0
83.1973,97.2739,0.0
86.7768,102.1067,0.0
76.1483,90.1412,0.0
78.4364,93.4437,0.0
80.064,95.9935,0.0
77.8641,93.9211,0.0
75.0254,91.0779,0.0
77.2725,94.4085,0.0
84.565,103.946,0.0
71.6652,88.6572,0.0
81.4054,101.3566,0.0
78.6088,98.4716,0.0
77.0562,97.1511,0.0
76.1317,96.6073,0.0
72.7616,92.8964,0.0
74.926,96.2813,0.0
74.0115,95.7251,0.0
84.6948,110.217,0.0
89.2027,116.8413,0.0
79.1661,104.3731,0.0
80.0599,106.2046,0.0
71.9331,96.0501,0.0
72.8249,97.8802,0.0
74.3178,100.5081,0.0
69.2655,94.2936,0.0
83.7059,114.7054,0.0
75.1461,103.6198,0.0
66.0522,91.6848,0.0
69.8377,97.5843,0.0
77.6618,109.2,0.0
75.5873,106.9932,0.0
74.6764,106.4116,0.0
77.2204,110.734,0.0
74.5944,107.6879,0.0
71.9884,104.6263,0.0
75.6284,110.618,0.0
73.0333,107.546,0.0
69.3399,102.8007,0.0
73.4884,109.6515,0.0
73.1436,109.8818,0.0
67.8345,102.6035,0.0
77.9612,118.6846,0.0
74.3096,113.9038,0.0
76.1265,117.4937,0.0
74.695,116.0373,0.0
70.5597,110.3736,0.0
69.6766,109.7505,0.0
72.5515,115.0316,0.0
74.8438,119.4965,0.0
65.4896,105.2954,0.0
71.4843,115.6978,0.0
70.0746,114.2171,0.0
65.5533,107.6046,0.0
67.8224,112.0764,0.0
67.47,112.2889,0.0
71.2156,119.3706,0.0
66.273,111.8387,0.0
69.978,118.9415,0.0
66.5778,113.9798,0.0
66.2393,114.1769,0.0
72.3685,125.6495,0.0
71.477,125.0082,0.0
65.1803,114.7847,0.0
71.2031,126.3136,0.0
60.0629,107.338,0.0
70.9159,127.6203,0.0
65.6848,119.0861,0.0
64.8302,118.4147,0.0
63.0457,115.9709,0.0
62.681,116.1684,0.0
59.4832,111.0754,0.0
63.8481,120.0809,0.0
70.9377,134.4316,0.0
67.2676,128.4526,0.0
67.8088,130.4261,0.0
61.4383,119.0854,0.0
71.5449,139.7509,0.0
58.8974,115.8926,0.0
58.0828,115.1841,0.0
57.7408,115.356,0.0
58.7125,118.2237,0.0
53.479,108.5403,0.0
60.6251,123.9702,0.0
54.561,112.4638,0.0
56.8093,118.0411,0.0
53.873,112.795,0.0
54.3746,114.7711,0.0
55.715,118.5615,0.0
56.2082,120.5389,0.0
54.57,117.992,0.0
52.1144,113.6182,0.0
52.1913,114.6825,0.0
