Theta,Distance,Z
88.67,52.00,0
88.85,50.00,0
89.03,53.00,0
89.20,51.00,0
89.38,53.00,0
89.56,53.00,0
89.73,53.00,0
89.91,54.00,0
90.09,53.00,0
90.26,54.00,0
90.44,53.00,0
90.62,58.00,0
90.79,54.00,0
90.97,53.00,0
91.15,56.00,0
91.32,56.00,0
91.50,55.00,0
91.68,57.00,0
91.85,56.00,0
92.03,57.00,0
92.21,56.00,0
92.38,56.00,0
92.56,57.00,0
92.74,59.00,0
92.91,57.00,0
93.09,57.00,0
93.27,56.00,0
93.44,59.00,0
93.62,57.00,0
93.80,58.00,0
93.97,59.00,0
94.15,57.00,0
94.33,56.00,0
94.50,60.00,0
94.68,59.00,0
94.86,60.00,0
95.03,59.00,0
95.21,59.00,0
95.39,58.00,0
95.56,59.00,0
95.74,62.00,0
95.92,61.00,0
96.09,59.00,0
96.27,62.00,0
96.45,61.00,0
96.62,60.00,0
96.80,60.00,0
96.98,63.00,0
97.15,62.00,0
97.33,63.00,0
97.51,59.00,0
97.68,64.00,0
97.86,61.00,0
98.04,60.00,0
98.21,62.00,0
98.39,64.00,0
98.57,60.00,0
98.74,63.00,0
98.92,62.00,0
99.10,62.00,0
99.27,63.00,0
99.45,63.00,0
99.63,62.00,0
99.80,58.00,0
99.98,63.00,0
100.16,59.00,0
100.33,61.00,0
100.51,59.00,0
100.69,57.00,0
100.86,56.00,0
101.04,61.00,0
101.22,52.00,0
101.39,52.00,0
101.57,51.00,0
101.75,51.00,0
101.92,30.00,0
102.10,37.00,0
102.28,32.00,0
102.45,27.00,0
102.63,27.00,0
102.81,44.00,0
102.98,30.00,0
103.16,35.00,0
103.34,29.00,0
103.51,19.00,0
103.69,28.00,0
103.87,27.00,0
104.04,30.00,0
104.22,32.00,0
104.40,30.00,0
104.57,35.00,0
104.75,33.00,0
104.93,37.00,0
105.10,30.00,0
105.28,37.00,0
105.46,37.00,0
105.63,38.00,0
105.81,30.00,0
105.99,37.00,0
106.16,34.00,0
106.34,29.00,0
106.52,33.00,0
106.69,34.00,0
106.87,34.00,0
107.05,34.00,0
107.22,29.00,0
107.40,34.00,0
107.58,37.00,0
107.75,35.00,0
107.93,34.00,0
108.11,32.00,0
108.28,35.00,0
108.46,37.00,0
108.64,39.00,0
108.81,35.00,0
108.99,35.00,0
109.17,38.00,0
109.34,37.00,0
109.52,35.00,0
109.70,39.00,0
109.87,34.00,0
110.05,33.00,0
110.23,34.00,0
110.40,34.00,0
110.58,33.00,0
110.76,34.00,0
110.93,34.00,0
111.11,34.00,0
111.29,32.00,0
111.46,37.00,0
111.64,34.00,0
111.82,35.00,0
111.99,35.00,0
112.17,38.00,0
112.35,37.00,0
112.52,33.00,0
112.70,35.00,0
112.88,37.00,0
113.05,32.00,0
113.23,35.00,0
113.41,35.00,0
113.58,35.00,0
113.76,34.00,0
113.93,34.00,0
114.11,37.00,0
114.29,38.00,0
114.46,33.00,0
114.64,34.00,0
114.82,35.00,0
114.99,35.00,0
115.17,35.00,0
115.35,35.00,0
115.52,37.00,0
115.70,34.00,0
115.88,40.00,0
116.05,34.00,0
116.23,40.00,0
116.41,35.00,0
116.58,33.00,0
116.76,34.00,0
116.94,34.00,0
117.11,34.00,0
117.29,35.00,0
117.47,32.00,0
117.64,28.00,0
117.82,35.00,0
118.00,33.00,0
118.17,39.00,0
118.35,32.00,0
118.53,30.00,0
118.70,35.00,0
118.88,39.00,0
119.06,33.00,0
119.23,34.00,0
119.41,34.00,0
119.59,33.00,0
119.76,32.00,0
119.94,35.00,0
120.12,35.00,0
120.29,37.00,0
120.47,30.00,0
120.65,34.00,0
120.82,37.00,0
121.00,34.00,0
121.18,34.00,0
121.35,30.00,0
121.53,33.00,0
121.71,42.00,0
121.88,35.00,0
122.06,29.00,0
122.24,33.00,0
122.41,37.00,0
122.59,37.00,0
122.77,30.00,0
122.94,32.00,0
123.12,34.00,0
123.30,33.00,0
123.47,25.00,0
123.65,33.00,0
123.83,30.00,0
124.00,35.00,0
124.18,33.00,0
124.36,29.00,0
124.53,34.00,0
124.71,37.00,0
124.89,32.00,0
125.06,33.00,0
125.24,25.00,0
125.42,28.00,0
125.59,28.00,0
125.77,29.00,0
125.95,34.00,0
126.12,32.00,0
126.30,28.00,0
126.48,43.00,0
126.65,32.00,0
126.83,23.00,0
127.01,18.00,0
127.18,32.00,0
127.36,22.00,0
127.54,32.00,0
127.71,27.00,0
127.89,32.00,0
128.07,33.00,0
128.24,25.00,0
128.42,29.00,0
128.60,23.00,0
128.77,30.00,0
128.95,20.00,0
129.13,27.00,0
129.30,24.00,0
129.48,27.00,0
129.66,20.00,0
129.83,19.00,0
130.01,23.00,0
130.19,27.00,0
130.36,24.00,0
130.54,27.00,0
130.72,25.00,0
130.89,27.00,0
131.07,28.00,0
131.25,33.00,0
131.42,20.00,0
131.60,19.00,0
131.78,24.00,0
131.95,20.00,0
132.13,25.00,0
132.31,22.00,0
132.48,20.00,0
132.66,27.00,0
132.84,19.00,0
133.01,19.00,0
133.19,25.00,0
133.37,23.00,0
133.54,23.00,0
133.72,22.00,0
133.90,24.00,0
134.07,20.00,0
134.25,25.00,0
134.43,27.00,0
134.60,29.00,0
134.78,24.00,0
134.96,25.00,0
135.13,24.00,0
135.31,25.00,0
135.49,25.00,0
135.66,25.00,0
135.84,25.00,0
136.02,27.00,0
136.19,22.00,0
136.37,27.00,0
136.55,25.00,0
136.72,23.00,0
136.90,30.00,0
137.08,19.00,0
137.25,20.00,0
137.43,23.00,0
137.61,28.00,0
137.78,22.00,0
137.96,22.00,0
138.14,25.00,0
138.31,28.00,0
138.49,30.00,0
138.67,27.00,0
138.84,28.00,0
139.02,28.00,0
139.20,17.00,0
139.37,22.00,0
139.55,28.00,0
139.73,25.00,0
139.90,27.00,0
140.08,23.00,0
140.26,20.00,0
140.43,24.00,0
140.61,23.00,0
140.79,24.00,0
140.96,28.00,0
141.14,24.00,0
141.32,20.00,0
141.49,29.00,0
141.67,20.00,0
141.85,30.00,0
142.02,27.00,0
142.20,22.00,0
142.38,23.00,0
142.55,20.00,0
142.73,25.00,0
142.91,22.00,0
143.08,29.00,0
143.26,27.00,0
143.44,30.00,0
143.61,20.00,0
143.79,25.00,0
143.97,29.00,0
144.14,23.00,0
144.32,28.00,0
144.50,27.00,0
144.67,28.00,0
144.85,18.00,0
145.02,25.00,0
145.20,23.00,0
145.38,25.00,0
145.55,24.00,0
145.73,27.00,0
145.91,23.00,0
146.08,25.00,0
146.26,27.00,0
146.44,30.00,0
146.61,22.00,0
146.79,25.00,0
146.97,24.00,0
147.14,20.00,0
147.32,30.00,0
147.50,25.00,0
147.67,20.00,0
147.85,23.00,0
148.03,25.00,0
148.20,25.00,0
148.38,22.00,0
148.56,25.00,0
148.73,22.00,0
148.91,18.00,0
149.09,22.00,0
149.26,24.00,0
149.44,27.00,0
149.62,23.00,0
149.79,20.00,0
149.97,19.00,0
150.15,24.00,0
150.32,22.00,0
150.50,19.00,0
150.68,23.00,0
150.85,24.00,0
151.03,28.00,0
151.21,20.00,0
151.38,23.00,0
151.56,20.00,0
151.74,20.00,0
151.91,24.00,0
152.09,22.00,0
152.27,22.00,0
152.44,22.00,0
152.62,22.00,0
152.80,23.00,0
152.97,20.00,0
153.15,20.00,0
153.33,27.00,0
153.50,20.00,0
153.68,23.00,0
153.86,19.00,0
154.03,24.00,0
154.21,22.00,0
154.39,22.00,0
154.56,22.00,0
154.74,20.00,0
154.92,22.00,0
155.09,20.00,0
155.27,24.00,0
155.45,22.00,0
155.62,20.00,0
155.80,23.00,0
155.98,19.00,0
156.15,23.00,0
156.33,17.00,0
156.51,15.00,0
156.68,17.00,0
156.86,18.00,0
157.04,20.00,0
157.21,18.00,0
157.39,17.00,0
157.57,20.00,0
157.74,18.00,0
157.92,19.00,0
158.10,19.00,0
158.27,20.00,0
158.45,18.00,0
158.63,20.00,0
158.80,17.00,0
158.98,18.00,0
159.16,20.00,0
159.33,19.00,0
159.51,18.00,0
159.69,18.00,0
159.86,18.00,0
160.04,20.00,0
160.22,18.00,0
160.39,19.00,0
160.57,18.00,0
160.75,18.00,0
160.92,22.00,0
161.10,22.00,0
161.28,18.00,0
161.45,19.00,0
161.63,19.00,0
161.81,19.00,0
161.98,15.00,0
162.16,19.00,0
162.34,22.00,0
162.51,19.00,0
162.69,19.00,0
162.87,19.00,0
163.04,18.00,0
163.22,18.00,0
163.40,18.00,0
163.57,19.00,0
163.75,17.00,0
163.93,18.00,0
164.10,18.00,0
164.28,15.00,0
164.46,17.00,0
164.63,17.00,0
164.81,17.00,0
164.99,18.00,0
165.16,17.00,0
165.34,15.00,0
165.52,14.00,0
165.69,15.00,0
165.87,15.00,0
166.05,14.00,0
166.22,13.00,0
166.40,15.00,0
166.58,17.00,0
166.75,14.00,0
166.93,14.00,0
167.11,17.00,0
167.28,17.00,0
167.46,14.00,0
167.64,18.00,0
167.81,15.00,0
167.99,18.00,0
168.17,18.00,0
168.34,18.00,0
168.52,18.00,0
