Theta,Distance,Z
125.77,9987,0
125.95,1,0
126.12,10337,0
126.3,10093,0
126.48,10162,0
126.65,10177,0
126.83,9961,0
127.01,9582,0
127.18,10165,0
127.36,1,0
127.54,1,0
127.71,9671,0
127.89,1,0
128.07,10325,0
128.24,1,0
128.42,9869,0
128.6,1,0
128.77,1,0
128.95,1,0
129.13,9948,0
129.3,1,0
129.48,1,0
129.66,1,0
129.83,9372,0
130.01,1,0
130.19,10275,0
130.36,10281,0
130.54,10174,0
130.72,9897,0
130.89,1,0
131.07,9885,0
131.25,10082,0
131.42,10077,0
131.6,9706,0
131.78,1,0
131.95,1,0
132.13,1,0
132.31,10304,0
132.48,9676,0
132.66,9615,0
132.84,10354,0
133.01,9632,0
133.19,9908,0
133.37,1,0
133.54,9920,0
133.72,10059,0
133.9,1,0
134.07,9239,0
134.25,10211,0
134.43,1,0
134.6,9093,0
134.78,10165,0
134.96,1,0
135.13,9693,0
135.31,1,0
135.49,1,0
135.66,9718,0
135.84,9674,0
136.02,1,0
136.19,10385,0
136.37,10316,0
136.55,10369,0
136.72,1,0
136.9,10344,0
137.08,1,0
137.25,1,0
137.43,1,0
137.61,9704,0
137.78,1,0
137.96,10082,0
138.14,9127,0
138.31,9858,0
138.49,9921,0
138.67,1,0
138.84,9876,0
139.02,9955,0
139.2,10392,0
139.37,10084,0
139.55,10349,0
139.73,1,0
139.9,1,0
140.08,1,0
140.26,9684,0
140.43,1,0
140.61,9861,0
140.79,10117,0
140.96,10208,0
141.14,1,0
141.32,1,0
141.49,1,0
141.67,1,0
141.85,10177,0
142.02,9371,0
142.2,9851,0
142.38,9845,0
142.55,1,0
142.73,1,0
142.91,1,0
143.08,10061,0
143.26,8171,0
143.44,9879,0
143.61,9483,0
143.79,1,0
143.97,1,0
144.14,9972,0
144.32,10197,0
144.5,9238,0
144.67,10078,0
144.85,9621,0
145.02,9574,0
145.2,1,0
145.38,1,0
145.55,9914,0
145.73,1,0
145.91,9475,0
146.08,10387,0
146.26,9707,0
146.44,1,0
146.61,1,0
146.79,10170,0
146.97,1,0
147.14,10188,0
147.32,1,0
147.5,1,0
147.67,1,0
147.85,111,0
148.03,1,0
148.2,1,0
148.38,10103,0
148.56,83,0
148.73,1,0
148.91,1,0
149.09,1,0
149.26,1,0
149.44,1,0
149.62,9931,0
149.79,1,0
149.97,5,0
150.15,19,0
150.32,24,0
150.5,43,0
150.68,30,0
150.85,19,0
151.03,7,0
151.21,8,0
151.38,15,0
151.56,12,0
151.74,25,0
151.91,22,0
152.09,15,0
152.27,24,0
152.44,17,0
152.62,17,0
152.8,8,0
152.97,12,0
153.15,10,0
153.33,7,0
153.5,12,0
153.68,15,0
153.86,14,0
154.03,12,0
154.21,12,0
154.39,12,0
154.56,8,0
154.74,9,0
154.92,13,0
155.09,14,0
155.27,9,0
155.45,14,0
155.62,10,0
155.8,12,0
155.98,10,0
156.15,12,0
156.33,10,0
156.51,9,0
156.68,10,0
156.86,10,0
157.04,10,0
157.21,10,0
157.39,10,0
157.57,12,0
157.74,13,0
157.92,14,0
158.1,12,0
158.27,12,0
158.45,10,0
158.63,14,0
158.8,12,0
158.98,14,0
159.16,12,0
159.33,13,0
159.51,12,0
159.69,14,0
159.86,13,0
160.04,14,0
160.22,13,0
160.39,14,0
160.57,12,0
160.75,14,0
160.92,14,0
161.1,12,0
161.28,12,0
161.45,13,0
161.63,13,0
161.81,13,0
161.98,12,0
162.16,13,0
162.34,12,0
162.51,12,0
162.69,12,0
162.87,12,0
163.04,12,0
163.22,12,0
163.4,13,0
163.57,13,0
163.75,13,0
163.93,12,0
164.1,12,0
164.28,12,0
164.46,12,0
164.63,12,0
164.81,13,0
164.99,12,0
165.16,12,0
165.34,13,0
165.52,13,0
165.69,13,0
165.87,13,0
166.05,13,0
166.22,12,0
166.4,12,0
166.58,10,0
166.75,13,0
166.93,12,0
167.11,13,0
167.28,10,0
167.46,12,0
167.64,12,0
167.81,10,0
167.99,12,0
168.17,13,0
168.34,12,0
168.52,10,0
168.7,12,0
168.87,10,0
169.05,10,0
169.23,10,0
169.4,12,0
169.58,12,0
169.76,10,0
169.93,10,0
170.11,9,0
170.29,10,0
170.46,9,0
170.64,10,0
170.82,10,0
170.99,10,0
171.17,9,0
171.35,9,0
171.52,7,0
171.7,8,0
171.88,9,0
172.05,7,0
172.23,9,0
172.41,9,0
172.58,7,0
172.76,7,0
172.94,7,0
173.11,9,0
173.29,9,0
173.47,8,0
173.64,9,0
173.82,9,0
174,14,0
174.17,12,0
174.35,13,0
174.53,13,0
174.7,13,0
174.88,17,0
175.06,8,0
175.23,13,0
175.41,9,0
175.59,15,0
175.76,15,0
175.94,13,0
176.12,14,0
176.29,14,0
176.47,10,0
176.65,13,0
176.82,17,0
177,5,0
177.18,23,0
177.35,5,0
177.53,1,0
177.71,9869,0
177.88,1,0
178.06,29,0
178.24,1,0
178.41,1,0
178.59,1,0
178.77,10136,0
178.94,12,0
179.12,9941,0
179.3,9415,0
179.47,1,0
179.65,1,0
179.83,1,0
180,1,0
180.18,7925,0
180.36,9561,0
180.53,8903,0
180.71,1,0
180.89,1,0
181.06,9475,0
181.24,1,0
181.42,10350,0
181.59,10155,0
181.77,1,0
181.95,1,0
182.12,1,0
182.3,1,0
182.47,10348,0
182.65,5,0
182.83,9663,0
183,9933,0
183.18,9623,0
183.36,1,0
183.53,1,0
183.71,1,0
183.89,1,0
184.06,10156,0
184.24,1,0
184.42,1,0
184.59,10307,0
184.77,9156,0
184.95,9972,0
185.12,9837,0
185.3,10213,0
185.48,10307,0
185.65,10336,0
185.83,9240,0
186.01,10194,0
186.18,1,0
186.36,10096,0
186.54,9604,0
186.71,10082,0
186.89,1,0
187.07,1,0
187.24,9579,0
187.42,1,0
187.6,5,0
187.77,1,0
187.95,10075,0
188.13,10157,0
188.3,1,0
188.48,9938,0
188.66,1,0
188.83,10094,0
189.01,9476,0
189.19,1,0
189.36,10360,0
189.54,10306,0
189.72,1,0
189.89,9858,0
190.07,9613,0
190.25,10125,0
190.42,9817,0
190.6,9638,0
190.78,1,0
190.95,10066,0
191.13,1,0
191.31,1,0
191.48,1,0
191.66,9355,0
191.84,10215,0
192.01,5,0
192.19,10322,0
192.37,10347,0
192.54,1,0
192.72,10156,0
192.9,1,0
193.07,9035,0
193.25,10228,0
193.43,10323,0
193.6,10321,0
193.78,5,0
193.96,9420,0
194.13,10118,0
194.31,10316,0
194.49,1,0
194.66,9279,0
194.84,1,0
195.02,9662,0
195.19,9831,0
195.37,1,0
195.55,1,0
195.72,1,0
195.9,9487,0
196.08,9718,0
196.25,10134,0
196.43,1,0
196.61,9622,0
196.78,9137,0
196.96,9487,0
197.14,9437,0
197.31,1,0
197.49,9630,0
197.67,1,0
197.84,1,0
198.02,9368,0
198.2,9937,0
198.37,9891,0
198.55,8396,0
198.73,1,0
198.9,10105,0
199.08,10358,0
199.26,1,0
199.43,1,0
199.61,10312,0
199.79,9361,0
199.96,10346,0
200.14,1,0
200.32,1,0
200.49,1,0
200.67,10357,0
200.85,10059,0
201.02,1,0
201.2,1,0
201.38,1,0
201.55,10306,0
201.73,10394,0
201.91,1,0
202.08,9654,0
202.26,1,0
202.44,10190,0
202.61,1,0
202.79,9630,0
202.97,1,0
203.14,1,0
203.32,8737,0
203.5,9599,0
203.67,1,0
203.85,1,0
204.03,10306,0
204.2,1,0
204.38,9868,0
204.56,9627,0
204.73,1,0
204.91,8715,0
205.09,10211,0
205.26,1,0
205.44,10339,0
205.62,10306,0
205.79,1,0
205.97,9949,0
206.15,9681,0
206.32,1,0
206.5,9428,0
206.68,10109,0
206.85,1,0
207.03,1,0
207.21,9490,0
207.38,1,0
207.56,10186,0
207.74,9462,0
207.91,1,0
208.09,9458,0
208.27,9617,0
208.44,1,0
208.62,1,0
208.8,9641,0
208.97,1,0
209.15,5,0
209.33,9854,0
209.5,1,0
209.68,10200,0
209.86,9462,0
210.03,1,0
210.21,10326,0
210.39,10334,0
210.56,1,0
210.74,10112,0
210.92,9355,0
211.09,1,0
211.27,1,0
211.45,1,0
211.62,1,0
211.8,9437,0
211.98,1,0
212.15,10189,0
212.33,9899,0
212.51,1,0
212.68,10070,0
212.86,1,0
213.04,10305,0
213.21,10108,0
213.39,9677,0
213.57,1,0
213.74,9687,0
213.92,9432,0
214.1,1,0
214.27,1,0
214.45,10131,0
214.63,9825,0
214.8,9659,0
214.98,10202,0
215.16,9819,0
215.33,1,0
215.51,10334,0
215.69,1,0
215.86,9645,0
216.04,9948,0
216.22,1,0
216.39,9358,0
216.57,9196,0
216.75,8844,0
216.92,1,0
217.1,9868,0
217.28,9851,0
217.45,10082,0
217.63,1,0
217.81,9871,0
217.98,9912,0
218.16,1,0
218.34,9571,0
218.51,1,0
218.69,10150,0
218.87,10210,0
219.04,10279,0
219.22,1,0
219.4,10320,0
219.57,1,0
219.75,1,0
219.92,1,0
220.1,10341,0
220.28,9901,0
220.45,10205,0
220.63,10161,0
220.81,1,0
220.98,1,0
221.16,9371,0
221.34,10091,0
221.51,8885,0
221.69,9525,0
221.87,10136,0
222.04,1,0
222.22,8455,0
222.4,9629,0
222.57,9866,0
222.75,9436,0
222.93,1,0
223.1,1,0
223.28,10356,0
223.46,1,0
223.63,8631,0
223.81,10173,0
223.99,1,0
224.16,10126,0
224.34,1,0
224.52,9917,0
224.69,1,0
224.87,9587,0
225.05,9745,0
225.22,1,0
225.4,1,0
225.58,1,0
225.75,8993,0
225.93,1,0
226.11,1,0
226.28,1,0
226.46,10148,0
226.64,1,0
226.81,1,0
226.99,10083,0
227.17,1,0
227.34,10198,0
227.52,5,0
227.7,10068,0
227.87,1,0
228.05,1,0
228.23,1,0
228.4,10276,0
228.58,1,0
228.76,10095,0
228.93,1,0
229.11,1,0
229.29,1,0
229.46,1,0
229.64,9638,0
229.82,10071,0
229.99,1,0
230.17,1,0
230.35,1,0
230.52,10322,0
230.7,10337,0
230.88,9814,0
231.05,10165,0
231.23,1,0
231.41,9810,0
231.58,9475,0
231.76,1,0
231.94,1,0
232.11,9829,0
232.29,1,0
232.47,9823,0
232.64,10114,0
232.82,1,0
233,9374,0
233.17,10335,0
233.35,1,0
233.53,1,0
233.7,9735,0
233.88,10381,0
234.06,8965,0
234.23,10335,0
234.41,9646,0
234.59,10105,0
234.76,9420,0
234.94,10142,0
235.12,9362,0
235.29,1,0
235.47,9129,0
235.65,9447,0
235.82,10130,0
236,9858,0
236.18,1,0
236.35,1,0
236.53,10084,0
236.71,1,0
236.88,10105,0
237.06,1,0
237.24,1,0
237.41,9845,0
237.59,8988,0
237.77,1,0
237.94,10358,0
238.12,1,0
238.3,1,0
238.47,8872,0
238.65,1,0
238.83,1,0
239,1,0
239.18,9870,0
239.36,9607,0
239.53,9832,0
239.71,1,0
239.89,10097,0
240.06,1,0
240.24,1,0
240.42,1,0
240.59,10380,0
240.77,8705,0
240.95,10059,0
241.12,9402,0
241.3,1,0
241.48,10211,0
241.65,10103,0
241.83,9801,0
242.01,9405,0
242.18,1,0
242.36,1,0
242.54,10091,0
242.71,9131,0
242.89,1,0
243.07,1,0
243.24,1,0
243.42,1,0
243.6,9731,0
243.77,10086,0
243.95,9330,0
244.13,9812,0
244.3,9845,0
244.48,1,0
244.66,9852,0
244.83,9602,0
245.01,10357,0
245.19,10093,0
245.36,9148,0
245.54,9610,0
245.72,10340,0
245.89,1,0
246.07,8412,0
246.25,10315,0
246.42,1,0
246.6,1,0
246.78,9154,0
246.95,10066,0
247.13,9880,0
247.31,9957,0
247.48,8914,0
247.66,10175,0
247.84,1,0
248.01,9948,0
248.19,9707,0
248.37,9351,0
248.54,10148,0
248.72,1,0
248.9,1,0
249.07,1,0
249.25,10199,0
249.43,8971,0
249.6,1,0
249.78,1,0
249.96,9265,0
250.13,9614,0
250.31,10192,0
250.49,1,0
250.66,9508,0
250.84,9342,0
251.02,8692,0
251.19,9628,0
251.37,10052,0
251.55,9379,0
251.72,10320,0
251.9,10205,0
252.08,9434,0
252.25,9691,0
252.43,1,0
252.61,8680,0
252.78,1,0
252.96,10157,0
253.14,10050,0
253.31,10127,0
253.49,10306,0
253.67,1,0
253.84,10093,0
254.02,9611,0
254.2,10059,0
254.37,1,0
254.55,1,0
254.73,1,0
254.9,1,0
255.08,9356,0
255.26,10309,0
255.43,9729,0
255.61,9338,0
255.79,1,0
255.96,9623,0
256.14,1,0
256.32,1,0
256.49,9614,0
256.67,9333,0
256.84,1,0
257.02,9970,0
257.2,9608,0
257.37,1,0
257.55,1,0
257.73,10283,0
257.9,9396,0
258.08,1,0
258.26,1,0
258.43,9627,0
258.61,1,0
258.79,9682,0
258.96,10066,0
259.14,9944,0
259.32,10079,0
259.49,10329,0
259.67,10132,0
259.85,1,0
260.02,1,0
260.2,1,0
260.38,1,0
260.55,1,0
260.73,1,0
260.91,8882,0
261.08,1,0
261.26,9608,0
261.44,10343,0
261.61,9341,0
261.79,10091,0
261.97,1,0
262.14,1,0
262.32,9635,0
262.5,9396,0
262.67,10047,0
262.85,10055,0
263.03,1,0
263.2,1,0
263.38,10180,0
263.56,9609,0
263.73,10112,0
263.91,1,0
264.09,1,0
264.26,1,0
264.44,9903,0
264.62,10192,0
264.79,9928,0
264.97,9747,0
265.15,10095,0
265.32,9433,0
265.5,1,0
265.68,10345,0
265.85,1,0
266.03,1,0
266.21,9705,0
266.38,9719,0
266.56,1,0
266.74,9609,0
266.91,10121,0
267.09,1,0
267.27,9406,0
267.44,10101,0
267.62,10346,0
267.8,9606,0
267.97,1,0
268.15,9815,0
268.33,1,0
268.5,10090,0
268.68,9249,0
268.86,1,0
269.03,10324,0
269.21,1,0
269.39,1,0
269.56,1,0
269.74,10048,0
269.92,10189,0
270.09,1,0
270.27,10168,0
270.45,9886,0
270.62,10175,0
270.8,1,0
270.98,10384,0
271.15,10336,0
271.33,1,0
271.51,9822,0
271.68,1,0
271.86,1,0
272.04,1,0
272.21,10313,0
272.39,9950,0
272.57,9628,0
272.74,9970,0
272.92,10338,0
273.1,10083,0
273.27,1,0
273.45,1,0
273.63,10279,0
273.8,1,0
273.98,10146,0
274.16,9855,0
274.33,10201,0
274.51,1,0
274.69,10131,0
274.86,10335,0
275.04,1,0
275.22,9563,0
275.39,10123,0
275.57,9958,0
275.75,9855,0
275.92,9851,0
276.1,1,0
276.27,1,0
276.45,9846,0
276.63,1,0
276.8,9835,0
276.98,1,0
277.16,9858,0
277.33,1,0
277.51,1,0
277.69,1,0
277.86,9882,0
278.04,10115,0
278.22,1,0
278.39,9661,0
278.57,9373,0
278.75,10240,0
278.92,8766,0
279.1,1,0
279.28,9456,0
279.45,9877,0
279.63,10339,0
279.81,10324,0
279.98,1,0
280.16,10080,0
280.34,1,0
280.51,9365,0
280.69,1,0
280.87,1,0
281.04,1,0
281.22,9706,0
281.4,1,0
281.57,1,0
281.75,9439,0
281.93,1,0
282.1,10059,0
282.28,9875,0
282.46,9381,0
282.63,1,0
282.81,10135,0
282.99,10062,0
283.16,10080,0
283.34,9635,0
283.52,1,0
283.69,10208,0
283.87,9959,0
284.05,10383,0
284.22,9939,0
284.4,9840,0
284.58,1,0
284.75,10281,0
284.93,9849,0
285.11,9186,0
285.28,1,0
285.46,9248,0
285.64,1,0
285.81,1,0
285.99,10169,0
286.17,1,0
286.34,1,0
286.52,1,0
286.7,1,0
286.87,9726,0
287.05,1,0
287.23,10180,0
287.4,10201,0
287.58,1,0
287.76,10091,0
287.93,10205,0
288.11,10111,0
288.29,1,0
288.46,1,0
288.64,1,0
288.82,10080,0
288.99,1,0
289.17,1,0
289.35,1,0
289.52,9498,0
289.7,1,0
289.88,1,0
290.05,9210,0
290.23,8614,0
290.41,9596,0
290.58,9943,0
290.76,9712,0
290.94,1,0
291.11,1,0
291.29,9576,0
291.47,10097,0
291.64,1,0
291.82,10187,0
292,1,0
292.17,1,0
292.35,10076,0
292.53,1,0
292.7,10337,0
